objectives;variables;evaluation_time;algorithm_time
[3.115142496000006, -0.6392169999999999];[2.3805586662035623, -5.0, 1.4704877650344104, -5.0, -3.074799888853362, -5.0, -5.0, -4.602600035637405, 4.670034365644655, -3.8241380408576147];17.842.152.180.004.600;10.116.103.400.010.600
[3.1706624880000063, -2.495996019];[3.331311248084228, -4.999014601927372, 2.15008620133818, -5.0, -4.525057684341601, -5.0, -5.0, -4.418411699530268, 4.880578317774168, -1.8295733170834172];1.796.365.591.000.060;10.116.103.400.010.600
[3.1878830880000124, -2.4999999999994196];[-2.2703387101164543, -5.0, -2.4240557428928424, -5.0, -1.4905498032822386, -5.0, -5.0, 3.650870400270156, -1.1768932640625929, 4.098125692481373];17.201.889.499.998.600;10.116.103.400.010.600
[3.0620049840000134, -2.499999999996015];[0.7120481240603205, -5.0, -0.5732290475784101, -5.0, 0.2236512267025983, -5.0, -5.0, -3.989359499274113, 3.1863919178996287, -5.0];1.966.528.461.999.840;10.116.103.400.010.600
[3.2709545280000114, -2.4999999999985825];[-0.7429631312730525, -5.0, -1.1750468756537047, -5.0, 1.426348115825995, -5.0, -5.0, 4.123569572888231, -3.627542668589441, 4.228702372928808];17.277.149.439.998.900;10.116.103.400.010.600
[3.110869584000003, -2.499999999998471];[-0.5475012484624759, -3.1367827849758396, -5.0, -2.4671579010981732, -2.4320280719058935, -1.9177311097379528, -5.0, 0.5696686829827122, -3.1440395646172306, -0.10266833078606119];1.729.998.841.000.480;9.150.676.899.997.050
[3.104254800000011, -0.7848919999999999];[-5.0, -2.261641159417849, 2.521962634051942, -1.1021208593609266, -0.9010986282211881, 0.5085402453141796, -5.0, -5.0, -4.213397508584254, -3.036748468301112];17.849.058.799.998.600;9.150.676.899.997.050
[3.953299608000005, -2.499999999998794];[0.02581671136560537, 3.4656821154248245, 4.420167526055556, 0.7987817896033187, -2.741924401019586, -2.1079637617204523, 4.6912073813595665, 1.7621668602450402, 5.0, 0.5091953108537792];16.714.635.410.002.600;9.150.676.899.997.050
[3.506116536000012, -2.41632109];[-0.2173143216377511, 4.007155161166601, -1.6992543848265362, 3.164460863950014, -4.987592837998088, -4.092211075198477, 4.085973180240444, 0.49680108648203536, -4.334108269493635, -1.3037004252675817];16.783.432.669.995.800;9.150.676.899.997.050
[2.778113808000013, -2.4999999999992397];[-5.0, -5.0, -5.0, -5.0, -1.1474164558165074, -5.0, -5.0, -1.8481901490032318, -1.7180713268329533, -3.8699377503793437];17.401.610.690.000.200;9.150.676.899.997.050
[2.741787576000007, -2.4999999999951537];[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -1.5959585519669472, 0.5633366798062367, -4.232752692106329];17.874.644.599.994.600;9.388.566.199.981.140
[2.925351504000001, -2.4999999999988036];[-5.0, -5.0, -2.342735489892853, -2.0043500419729976, -4.875692036529646, -1.8016630870416521, -3.3859606640809554, -1.827230034387466, -2.677625245523088, -2.85181054580727];17.355.390.110.000.700;9.388.566.199.981.140
[2.679087312000006, -2.499999999994952];[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -3.769463545751208, 0.39043407239397787, -4.789167969321102];17.841.289.219.999.400;9.388.566.199.981.140
[2.7835185600000036, -2.1377113];[-5.0, -3.5881214685819307, -5.0, -5.0, -5.0, -5.0, -4.8598541275939615, -3.2747182610512886, 1.4658217475543545, -3.0765328886971903];17.700.518.619.996.700;9.388.566.199.981.140
[2.7918200880000104, -1.8287645000000001];[-5.0, -5.0, -4.724229361136929, -5.0, -5.0, -5.0, -4.59201667627597, -2.214412355329248, -3.725481689584276, 2.3070851516066497];1.773.680.911.999.540;9.388.566.199.981.140
[3.0036741840000074, -2.499999999998258];[0.8728468791777093, -5.0, -5.0, -3.1650338772006736, -5.0, -3.6072475375616873, -4.4305981117218, 2.0815470631988813, -4.6399004869124845, -0.2525829973316549];17.049.885.449.995.000;11.208.277.899.946.500
[3.358950120000009, -2.4999999999986797];[0.8694199995362739, 1.0554348594152376, -3.0806875661370903, -5.0, -0.14200158411853359, -5.0, -1.2541234515450101, 0.5644846440708591, 0.19730143061602146, 0.09711888450148809];1.698.159.089.999.970;11.208.277.899.946.500
[3.283946280000005, -2.4999999999960245];[2.1316337470168083, 1.4382188180661926, -0.7503982546457415, 1.7811471744837544, -5.0, -5.0, -5.0, -5.0, 2.1886887656748124, -1.9547450450272437];17.536.690.180.003.600;11.208.277.899.946.500
[3.1183844400000105, -2.4999999999990843];[-0.4082044418397244, -5.0, -1.1682726641176027, -5.0, -1.5079271582347484, -5.0, -2.2611681617972272, -0.8672823667402856, -1.564250065565758, -0.053263233978277036];17.206.646.569.998.700;11.208.277.899.946.500
[2.8698861600000014, -1.259483];[-4.566138012210438, -5.0, -5.0, -5.0, 0.5042982685526258, -5.0, -5.0, 0.6237602617759022, -1.9336122486120573, -3.963227873900467];17.090.381.659.998.000;11.208.277.899.946.500
[2.8358087040000064, -2.4999999998850995];[-3.478907975228941, -5.0, -3.584977023779504, -1.4320471993107748, -5.0, -5.0, -5.0, -0.6899328053050082, -2.9194154899355, -3.8072899083530785];1.748.835.950.999.630;8.916.461.799.992.240
[2.8021982400000116, -2.4999999999992646];[-5.0, -5.0, -5.0, -5.0, -0.5239834521628834, -5.0, -5.0, -3.366441857921563, 1.1613070038855469, -4.739485416273396];17.809.590.790.001.600;8.916.461.799.992.240
[2.7348071040000086, -2.499999999996544];[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, 0.6185829133860707, -4.788569823204526, -1.4185682366881607];17.561.982.640.001.200;8.916.461.799.992.240
[3.1116026880000094, -2.4999999999591265];[-2.4068513800947553, -5.0, -4.698502286235031, 2.57984412492723, 3.82496447182527, -5.0, -5.0, -4.205247229546089, -1.7037951970356833, -1.5347192972449273];17.693.884.240.003.500;8.916.461.799.992.240
[2.88203724000001, -2.499999999998915];[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, 2.489944981726513, -0.9536051812570401, -0.3086981684782417];1.742.745.587.999.810;8.916.461.799.992.240
[3.107381616000007, -2.4999999999988267];[1.1164744678230445, -5.0, -4.983846792675368, -2.751893568496019, -0.7088622904782529, -5.0, -5.0, 1.7490349454786465, -2.477504966295714, -0.28314882648311634];17.078.923.799.999.700;10.621.653.000.009.200
[2.8530621360000064, -2.1460209];[-5.0, -5.0, -5.0, -3.6964742737475884, -0.40215308638564906, -5.0, -5.0, -1.7364496474553093, -2.3339714247035497, -1.9447405831670839];17.251.108.829.997.200;10.621.653.000.009.200
[3.0617859600000075, -2.3149761];[-4.098180011613645, -5.0, -0.9853289494331525, -4.525821040593796, -0.17001188858718486, -5.0, -5.0, 1.9669496808786988, -2.077977134968357, -0.5602766856145927];17.147.469.870.001.000;10.621.653.000.009.200
[2.879268984000011, -2.4999999999960205];[-2.9083431551150065, -5.0, -3.725003141622624, -3.353083625824924, -5.0, -5.0, -5.0, -1.0850096030626082, -2.099777167439092, -0.7292844975399619];17.288.801.499.997.400;10.621.653.000.009.200
[3.6328141440000046, -2.49999999999786];[3.078338445815138, 0.3117578016705602, 3.716930210685927, -1.103606975389643, 2.3728073537585708, -1.0710334834187152, -2.81956478638647, -0.14825877010426325, 0.650830043604981, -4.002371047326092];16.886.270.929.995.200;10.621.653.000.009.200
[3.940853256000007, -2.4999999999995812];[-0.540821647035937, 3.3427749046415904, 0.5217513670969591, 4.725048313680258, -4.203763255157012, 2.713773007335192, -2.596152728235757, 3.8591025461963238, 2.9703371238517216, 4.45487021914332];16.456.304.129.998.800;9.255.255.799.973.380
[2.8586675520000107, -2.499999999963363];[-5.0, -1.8087286597593715, -3.1686707205006983, -1.6316969714865963, -3.6739632129473936, -5.0, -5.0, -5.0, -3.769859312408155, -0.8013561512779113];18.032.066.700.002.100;9.255.255.799.973.380
[2.7363216960000076, -2.4999999999014406];[-5.0, -5.0, -0.0699660057976157, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -0.4484808326767489];1.730.708.538.000.470;9.255.255.799.973.380
[3.1868015760000006, -2.499999999988124];[-5.0, -5.0, -3.034695117195023, -0.24947938489025123, -0.9253336049406276, -5.0, -5.0, 2.131744912449318, -0.15669141546275345, 2.5715677592480803];16.603.356.850.001.700;9.255.255.799.973.380
[3.001630392000007, -2.4999999999948757];[-5.0, -5.0, -5.0, 0.00880212392507218, -2.619557551176837, -5.0, -5.0, -3.2034176531092964, 4.657777976981297, -2.0792333191069066];1.719.712.084.000.340;9.255.255.799.973.380
[3.0917291760000074, -2.499999999983631];[-2.5886324880424123, -4.989824467361368, 3.1395633518158146, -1.3900891882191497, -0.3038436011713843, -5.0, -5.0, -5.0, -5.0, 2.0684423111749943];17.820.234.499.999.700;9.507.466.199.982.440
[3.1443930000000093, -2.4999999999993125];[-5.0, -5.0, -3.171872542867138, -4.904183531305917, 0.19874066651317968, -5.0, -5.0, 4.447327193750706, 1.6976577373985755, 0.10611064266992631];1.694.737.242.999.830;9.507.466.199.982.440
[3.055712688000006, -2.499999999998193];[-5.0, -5.0, -1.6488345310905532, -0.8710668190941009, -0.15624808709189875, -5.0, -5.0, -3.440855735874698, -3.0936820930745688, 3.4788559515661213];17.682.387.809.996.700;9.507.466.199.982.440
[3.0132378000000126, -2.4999999999969345];[-0.08236422013189326, -5.0, -3.929788622346718, -0.21153101990166423, -1.6591045891446212, -5.0, -5.0, -2.3551118799896367, -0.8563969158271574, -3.603968525607778];17.712.231.379.997.600;9.507.466.199.982.440
[2.9720900160000037, -1.352352];[-5.0, -4.535252062935454, -1.7609136441923328, 2.395300025470802, -5.0, -5.0, -5.0, -4.250660001670131, -0.8843449946726993, -0.5673323042984411];17.592.398.869.997.100;9.507.466.199.982.440
[3.2093599680000082, -2.4999999994687756];[-4.95707855067167, 0.736273566024483, -4.01770990485949, 0.7228148162920132, -4.802013330162663, -3.29204520945253, -2.0816272376103973, 1.6360732073662483, -2.1088549771384555, -0.4543648588452305];1.692.175.270.000.000;10.228.545.300.022.200
[2.6988400800000005, -2.4999999999970153];[-5.0, -5.0, -5.0, -5.0, -4.652112979805554, -5.0, -5.0, -1.4522334024613355, -2.3014458797696418, -3.8479045706083648];17.015.190.009.999.700;10.228.545.300.022.200
[2.958280488000009, -1.5905963];[-5.0, -5.0, -4.997867225014444, 3.0513146662560224, -5.0, -5.0, -5.0, -3.4391342185183227, 2.889393691175802, -2.7462766901490494];17.002.898.239.996.200;10.228.545.300.022.200
[3.2709584160000027, -2.0608098999999998];[-5.0, -5.0, 0.9791761220645689, -1.3741708753483306, -1.6715372150980388, -5.0, -5.0, 3.467375298707921, 2.952589191243641, -0.1201784071601244];16.919.930.300.000.100;10.228.545.300.022.200
[2.90009116800001, -2.4999999999982427];[-5.0, -5.0, -5.0, -0.7377151134269528, -5.0, -5.0, -5.0, 1.1075232990905013, -2.6155698940629537, -0.6907402718556312];1.703.183.586.000.230;10.228.545.300.022.200
[3.3475515840000054, -2.499999999996935];[-2.3447451190194277, -4.5947965521328875, -2.5455824791311206, 2.2355964187388055, 0.9451078767495762, -0.626372933704042, 0.18214854719197948, -1.762918106359674, -0.5451403779343806, -3.1640759111793346];17.092.484.430.002.500;10.835.858.899.983.500
[3.2671047600000005, -2.190213];[-4.563631776464813, 0.5165213812957479, -1.1093866000888952, -1.7104014385625286, 1.986617568534177, -3.812561732632753, -3.1101009342227965, -3.762282874308694, 1.4110353920534386, -1.7909555881508785];17.148.766.430.001.700;10.835.858.899.983.500
[3.2984249760000113, -1.092748];[-2.543979127846427, -2.4734277313988544, -0.03647824384938492, 1.6539068304731597, 5.0, -5.0, -5.0, -3.3324765818645696, -1.742923170006967, -1.0197810794271787];173.864.987.799.956;10.835.858.899.983.500
[2.8574197200000038, -2.499999999990281];[-5.0, -4.7589249742197275, -5.0, -3.6487202754864816, -4.637613000314734, -5.0, -5.0, 2.145966549183516, -3.3088451414849316, -0.7039213692731527];17.118.587.839.999.200;10.835.858.899.983.500
[2.7285141600000005, -2.4999999999220064];[-4.443889555452755, -5.0, -5.0, -4.863012683716226, -1.8385994961884378, -5.0, -5.0, -2.9877057810884247, -2.8066126791179036, -3.940086438358228];16.951.895.670.004.800;10.835.858.899.983.500
[3.1509397440000058, -2.4864699200000002];[-5.0, -0.16379228232226506, -5.0, -3.748414712774073, -4.927310236241103, -5.0, -5.0, 4.865238529263451, -0.12157965604943932, 2.772659553407105];1.733.875.968.999.920;9.865.624.799.975.190
[2.7561435840000037, -1.060793];[-4.597197623067791, -5.0, -5.0, -5.0, -4.012619991566377, -4.530637344856003, -5.0, -1.6044221471904132, -1.824149426886252, -3.031714600063517];17.277.583.080.000.400;9.865.624.799.975.190
[2.7763858080000063, -2.495160409];[-5.0, -5.0, -4.276744125004949, -5.0, -4.645302709652874, -2.9852723678851927, -5.0, -4.746045480684093, 2.9897586967473213, -5.0];17.252.071.710.000.700;9.865.624.799.975.190
[3.03684076800001, -2.49999999999552];[-0.7037774320313206, -3.9124577794682294, -5.0, -5.0, -5.0, -5.0, 0.1773196833320565, -3.5652021957830966, 3.2601105416101, -1.8615290344782052];1.722.643.803.000.100;9.865.624.799.975.190
[3.290949432000007, -2.1706928];[-2.1462855585704688, 1.3667812409286517, -2.0056440993956337, 0.22666388542123173, -5.0, -5.0, -4.980874981385768, -0.6723497338509201, -0.7129582635970566, 4.083426686018406];17.356.576.869.997.600;9.865.624.799.975.190
[3.615450336000012, -1.9893122];[-3.041521944489982, 2.559465820179767, -1.4598102387167677, -0.0626578124636108, 2.2337410453915414, -0.17470186965433498, -1.8548779464081822, 0.5664031020758067, 0.9519042774909234, 0.4639956378868888];16.743.744.479.998.700;1.735.828.839.999.150
[3.7651309920000013, -2.3709284999999998];[5.0, -5.0, -0.29226900817928847, -5.0, 5.0, -3.07109312404075, 5.0, 5.0, -2.1814102261223023, 2.656385248334744];16.832.525.140.000.500;1.735.828.839.999.150
[3.3898718160000065, -2.499999999998457];[-0.27956050458325254, -5.0, -5.0, -5.0, -4.281884188404523, -2.602036449926946, 4.928181034013658, 5.0, -1.1473407416470929, 3.121174824231895];16.803.676.879.999.600;1.735.828.839.999.150
[3.535407216, -2.2753978];[-1.0376762011315717, 5.0, -5.0, -5.0, -0.9558370773604548, -5.0, 5.0, 3.5001000060301575, 1.8737427537802596, -1.9040658492267921];16.856.133.609.998.500;1.735.828.839.999.150
[3.04594106400001, -2.4999999999974274];[5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, 5.0, -2.2476580248451783, -3.9365781106152244];1.793.860.251.000.150;1.735.828.839.999.150
[3.4676722080000113, -2.4999999999985345];[-0.6231168395071602, -5.0, -5.0, -5.0, -5.0, -1.913589055340065, 5.0, 5.0, 5.0, 0.877085514501525];16.426.385.029.999.000;11.956.821.299.972.900
[3.42745322400001, -1.299235];[0.7267632799206156, -0.18891159874512375, -2.3823974747536036, 0.11520997121583498, -0.49658281687540295, -4.804142832792521, 1.1653008488703778, -0.39698394935813663, -4.305798313029662, 2.045926534841839];17.130.605.829.996.000;11.956.821.299.972.900
[3.756348432000012, -2.4999999999987903];[4.227741973726616, 5.0, -2.0811327291178787, -5.0, 2.0855180854127022, -5.0, 4.850834070979147, 3.070509011105255, -3.344019356285342, 2.895554838680371];17.088.446.090.003.700;11.956.821.299.972.900
[3.1476550320000127, -2.4999999999370632];[5.0, -5.0, -5.0, -5.0, 3.2297444690620107, -5.0, -5.0, -5.0, -4.704981206776217, 5.0];17.749.319.619.999.700;11.956.821.299.972.900
[3.3234071040000037, -2.4999999999982934];[5.0, -5.0, 2.131935030140232, -5.0, -1.6651018299870297, -5.0, -5.0, 5.0, -5.0, 1.1946070238673627];17.206.098.579.999.500;11.956.821.299.972.900
[3.402669816000001, -2.499999999997658];[5.0, -5.0, -5.0, -5.0, -5.0, 5.0, -5.0, 5.0, 1.445987476259008, -1.1149758132193321];1.690.842.814.000.200;1.977.045.349.997.930
[3.3566432400000124, -2.499999999994029];[-5.0, -3.075881042799585, -0.8778125400837968, 0.4004529719099921, -3.2179008452782596, 1.6964582289738086, 3.2720901026534204, 5.0, -5.0, -4.997289023197721];1.759.609.811.999.830;1.977.045.349.997.930
[3.19126651200001, -1.6602961];[1.4431399705511838, -5.0, 5.0, -0.8993124097485099, -5.0, -5.0, -5.0, 5.0, -5.0, -5.0];1.822.425.932.000.040;1.977.045.349.997.930
[3.6805831920000003, 0.43412700000000015];[-2.2806419418848494, 4.972699509203672, 4.996474187405614, 3.9887408458876354, 4.914230403297015, 3.1151125777401294, -4.4479683535063295, -4.0713174508753704, -4.415864984147378, -3.5741038934132074];18.121.107.349.998.700;1.977.045.349.997.930
[2.8635593040000074, -2.496200967];[-5.0, -5.0, -5.0, -5.0, -5.0, 0.3721879523136584, -5.0, 5.0, -5.0, -5.0];17.484.669.220.005.100;1.977.045.349.997.930
[3.9012470640000103, -2.499999999999636];[4.142620712818216, -0.6938956983722839, 5.0, -1.0676765505523629, -0.41761193048654643, 0.8809473834505219, 1.2177615048360844, 5.0, 0.9826660946404067, -1.631536545693435];15.973.162.820.003.900;13.114.403.699.990.300
[3.274234056000011, -2.4999999999997016];[-0.774284611334763, -0.04174251158236153, -1.912944893543445, 1.2701270974186807, -1.882883147085571, -5.0, -3.9543377554037304, -4.331111614118772, 1.8144060777939162, -0.8023181656943503];16.524.984.439.997.900;13.114.403.699.990.300
[3.5384310000000085, -2.499999999997438];[4.998737285314043, -5.0, 5.0, -5.0, 5.0, -5.0, -5.0, 4.550197779018307, -4.853229842550483, 1.9205320031459117];16.652.451.339.998.500;13.114.403.699.990.300
[3.152606184000012, -2.49999999999929];[-4.590424753397877, -5.0, -5.0, -5.0, 4.943522899680561, 3.4063824741881668, -5.0, -3.4182905311212965, 3.4128063433503346, -5.0];17.053.269.000.002.100;13.114.403.699.990.300
[3.403100088000002, -2.4999999999988196];[5.0, -5.0, -3.6347262531725484, -5.0, -2.0094534188804425, 5.0, -5.0, 3.501054415269195, -2.350781579222047, -0.15514923990783025];16.067.557.670.001.400;13.114.403.699.990.300
[3.509682480000012, -2.3541215];[-2.4978984919363842, -5.0, 1.3637887952592376, 0.5483332157170926, -0.17893270432663044, 2.284973291290303, -5.0, 4.647128067606918, -2.1824737959648957, 1.3003782933317414];16.737.149.180.000.400;15.622.925.699.979.500
[3.3168862800000003, -2.499999999996796];[-0.13826754520202478, -5.0, -5.0, 1.4116444208851746, 0.4329592247880987, 2.221884239288885, -5.0, -0.7769631273180959, 2.6491783650083818, -4.440883357196384];16.812.046.649.999.600;15.622.925.699.979.500
[3.4911859680000075, -2.40833364];[-4.266399684110461, 4.662831027791139, -0.17954381803773778, 0.4097591697525713, -4.306666211359481, -1.055639598782614, 1.7879491254842268, -0.8380348981743326, -4.569194635051771, 2.7839297190947168];16.917.997.759.999.700;15.622.925.699.979.500
[3.2153092560000123, -2.3541336];[-5.0, 1.4511597019773772, -1.1645283415839809, 1.9427445879110552, -4.697661747963332, -5.0, 1.7483064898449827, -0.6545012556027618, -3.8281867889462706, -3.1404062944907514];16.912.604.780.000.400;15.622.925.699.979.500
[3.1809270240000105, -2.4999999999981037];[5.0, -5.0, -5.0, -5.0, -5.0, 5.0, -5.0, 1.0889370994314218, -3.7636064760553403, -2.2601725578955136];16.837.635.760.003.400;15.622.925.699.979.500
[3.114030960000014, -2.499999999997019];[-0.486601454653127, -5.0, -1.2345897490525308, -5.0, -1.4881634783673316, -5.0, -2.2935663952426237, -0.9014603974868276, -1.5816208181257836, -0.04586563999653581];17.465.406.589.995.800;1.108.349.960.000.480
[3.2653653120000015, -2.499999999932568];[-5.0, -5.0, 5.0, -5.0, -5.0, 3.2187876221808196, -5.0, 3.683202158445951, -5.0, 2.072328807112913];17.433.372.579.998.100;1.108.349.960.000.480
[3.738224952000005, -2.2055108];[1.2863552518902015, -1.56105210880827, -0.14870879717390562, -1.2447389894827445, -0.3532081731593548, 2.9147214597691757, 4.091603152053075, 0.21454237855861713, 1.0412929141290297, -0.37485257733872857];16.598.556.140.001.100;1.108.349.960.000.480
[3.253622472000006, -2.499999999986881];[5.0, -5.0, 4.2699356414561525, -5.0, -5.0, -5.0, -5.0, 0.9128879469659301, -1.2328103124343897, -0.519332395069477];1.753.187.450.999.970;1.108.349.960.000.480
[3.5484246720000057, -2.499999999995776];[-0.38963027298426667, -2.9662162438035926, 1.3402642402797031, 3.4747617412356906, 2.224800027906876, -0.42743990197793824, -4.94993438012908, 1.8330722674726552, -1.225770907476615, -1.8349920399486446];16.482.909.440.004.700;1.108.349.960.000.480
[3.919445064000007, -2.0536725000000002];[2.1122919527120576, 0.24052842397414587, 4.531237914797716, -0.10540113347506441, -0.8788438045936022, 0.7774983078459607, 1.5849307612554187, 2.164471261836632, 4.65907394612471, -0.830010952607938];1.617.102.541.999.770;11.313.789.399.981.000
[3.3497651520000007, -2.4999999999426143];[-5.0, -5.0, -5.0, 5.0, -2.010116611469467, -5.0, -5.0, 4.105950702236434, 0.7858689019697715, 5.0];16.702.911.199.996.000;11.313.789.399.981.000
[2.9528210880000043, -1.7903525];[-5.0, -5.0, -2.3222216805482665, 5.0, -5.0, -5.0, -5.0, 1.8269032523389885, -5.0, -5.0];1.779.188.810.000.190;11.313.789.399.981.000
[3.625541856000003, -2.4999999999983316];[-3.255654787645093, 0.16628943383713768, -1.2928334064784677, -4.9101183004677535, 4.405397893860741, -3.2995112054050857, 0.9666774887596663, 1.4076815731825532, 3.565091537311913, 2.8961494378741826];16.568.934.819.998.600;11.313.789.399.981.000
[3.5722218240000077, -1.7443019];[2.1091871894878125, 0.8836478274336148, 3.348088767377993, -2.8884957637655, -0.8920685015692262, 1.8383126892150772, -3.0802508629853733, -4.45353224873853, -2.8360620606830182, 4.15181826802996];16.700.163.349.998.100;11.313.789.399.981.000
[3.583791432000008, -2.2201365];[-2.1924554894982573, -2.7815081210043116, 0.4298602286881419, 0.47196919567190765, 1.3883855072808684, 3.485974634817385, -0.8120903933177166, -1.008492626545717, 2.6302446592072295, -2.8956491381978138];17.111.329.230.002.500;11.066.646.799.969.000
[3.058299936, -2.029009];[5.0, -5.0, -5.0, -5.0, 1.7536128990352644, -3.35531151187674, -5.0, -4.39033826531964, 0.38001169678644686, -5.0];17.683.705.509.995.300;11.066.646.799.969.000
[3.608769024000008, -2.4999999999981877];[-2.3174812769257773, -5.0, 5.0, 5.0, 5.0, -5.0, -5.0, 1.9415448641346753, -0.08395876204917574, 0.3325312354261385];16.930.743.220.000.200;11.066.646.799.969.000
[3.252518280000005, -2.4999999999966156];[4.651346935649267, -5.0, -5.0, -5.0, -5.0, 0.9025571351697472, -5.0, 5.0, 2.748991554999863, -4.923354409389635];172.716.677.599.994;11.066.646.799.969.000
[3.5357046480000016, -2.499999999999228];[5.0, -5.0, -5.0, 5.0, -5.0, -5.0, -5.0, 5.0, 1.4900289994908693, 5.0];17.426.467.620.005.100;11.066.646.799.969.000
[3.3075758160000106, -2.4999999999988973];[5.0, -5.0, -5.0, -5.0, 5.0, -5.0, -5.0, 1.9477562461222808, -1.4977489959475916, 0.47851783314311014];17.526.896.299.998.000;11.444.233.799.993.500
[3.0239319600000036, -2.217904];[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, 2.2123246520291806, 0.5845232140104519, 5.0];16.733.385.609.998.300;11.444.233.799.993.500
[3.636616608000007, -1.8430315];[1.3367087772922472, -5.0, -5.0, -0.2614457639891379, 5.0, -5.0, 5.0, 3.767574238164409, 1.4103839365326118, -0.09134559113380014];17.148.712.309.997.000;11.444.233.799.993.500
[3.6528844320000005, -2.1792229];[-3.011201131522939, -3.382682924371191, 4.991813407872668, -3.8910311258977472, -2.718189618884804, 3.5310573221141404, 0.3713475522702758, 1.9230002346364392, 2.004481313216929, 2.096458005572406];16.343.167.899.997.200;11.444.233.799.993.500
[3.511014336000012, -1.6821522];[-5.0, -5.0, 1.9180630811752417, 5.0, -5.0, -5.0, 2.774329564149367, 3.6251273599372276, -0.27310362893144724, 2.302548986378569];16.676.476.489.997.000;11.444.233.799.993.500
[3.0796727040000027, -2.4997877831];[5.0, -5.0, 2.861541658256229, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, 2.5158931057208846];171.221.382.800.024;12.796.932.400.029.600
[3.8896606080000007, -2.499999999999481];[-1.9267478560294071, 1.389052794426732, 1.247395689434386, -2.531179817541261, 3.6222728013820316, 2.7889349999192987, -0.8955796625805226, -0.5577408970677107, 4.749839436881807, 4.990624487172116];16.190.875.049.994.700;12.796.932.400.029.600
[3.3332508720000096, -2.4999999999996336];[0.6203709712184944, 1.9410061565720715, 3.01038721388702, -4.647603909677364, -2.1856721097788743, -3.8424035185271492, -2.760625560096483, 2.0090688071568517, -3.658486673075238, -3.3688669175657067];17.024.723.149.999.000;12.796.932.400.029.600
[3.929426640000011, -2.499999999998222];[0.7261480615747367, -1.8508167102638922, 4.999713741938072, -3.369811694668943, 3.064879042256644, 4.781192386873993, 2.6928203801386728, -0.45669110056875706, 0.37953331607598706, 3.750913649900653];16.128.341.099.998.200;12.796.932.400.029.600
[3.5578701360000076, -2.499999999996898];[-2.700253434962695, 4.999999999999963, 2.7447614834120966, 3.658668650737649, -4.480944926698087, 1.6130121126728794, -4.999989275543862, -3.2934959049584753, 4.974432456582827, -4.999999999999771];1.699.690.518.999.700;12.796.932.400.029.600
[3.882966336000007, -2.4999999999987046];[-0.5349147838382189, -0.3315831933861473, 2.530587453549071, 3.0703907588265107, 4.980646525300145, -1.4846220036935427, -0.6503898192076054, -2.205748662786802, 4.307867316266764, 2.8847311617792384];16.428.531.860.001.300;2.010.806.399.997.090
[3.565462752000009, -2.499999999999386];[-4.934582675605601, 1.5388014915601627, -5.0, -5.0, 4.238273692295344, -1.7378028799745762, 1.2183727702353906, 5.0, -2.4553467533144313, 5.0];1.611.115.558.000.160;2.010.806.399.997.090
[3.361088304000004, -1.8591114];[-2.787241447324262, 0.5329513494840405, 4.888870869045984, -1.8568194833932656, -2.0975123120501165, -5.0, 1.1100007118542194, 1.4306928000146133, -2.894407810011294, -4.9205864583528385];16.479.522.610.001.700;2.010.806.399.997.090
[3.179520000000005, -2.499999999997129];[-5.0, 5.0, -5.0, -5.0, -5.0, 5.0, -5.0, 5.0, -5.0, -5.0];17.131.100.079.999.300;2.010.806.399.997.090
[3.617153496000003, -2.4999999999987357];[4.972240262371296, -5.0, -5.0, -5.0, -0.2787513754445534, 5.0, 0.5673186390914298, 5.0, -5.0, 5.0];16.289.911.940.001.100;2.010.806.399.997.090
[3.2957664480000037, -2.4999999999989417];[3.2209239490035593, -1.28199806668397, -3.89225155209276, -5.0, -1.6562175985200662, 3.2757967304671727, -0.07135273644859907, -4.996589424091677, -3.2434746143754793, -0.9730661652965367];16.377.015.460.003.100;11.767.127.000.028.200
[3.0624168960000087, -2.499999999995819];[3.0175855999748578, -3.0417350706301107, -5.0, -5.0, -5.0, 5.0, -5.0, -5.0, -1.7443622567850858, -3.6529529098439966];16.771.072.059.997.800;11.767.127.000.028.200
[3.4989092640000106, 0.37597499999999995];[-1.0614382270940497, -1.389385679310069, 2.732527673931175, -1.399833874875966, 3.0731159957744865, -2.1316885279933118, 3.9647537750120794, -5.0, -3.5125175181621646, -0.4889844991592094];16.702.302.759.996.300;11.767.127.000.028.200
[3.224694240000006, -1.836794];[5.0, -5.0, -5.0, -4.111869284101164, -2.2560610474655585, -5.0, -2.5953346085539875, 1.460203515285329, -2.6813692622695093, 2.2758427601152214];16.883.379.000.000.400;11.767.127.000.028.200
[4.025590056000006, -1.7167392000000001];[1.4053019601850094, 4.171361168846303, 3.2355708815154127, 4.954682821408017, -3.5880547296257186, 4.688402041792482, -0.5062029790133185, 0.11046682484452486, 4.54012098722189, 0.15825471840812266];16.017.142.229.998.700;11.767.127.000.028.200
